type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,B0:B2:1C:A8:27:60,-72,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,39859,0,30,0,0,0.245699,128,[30 -32 1 0 0 0 0 0 0 0 0 0 1 -22 1 -21 3 -21 1 -21 2 -20 3 -17 2 -15 2 -15 3 -15 1 -13 3 -13 1 -13 2 -12 2 -11 1 -10 2 -11 2 -10 1 -8 0 -11 4 -9 3 -9 5 -9 3 -11 7 -11 8 -11 11 -12 0 0 11 -13 15 -13 16 -14 15 -15 15 -13 19 -12 20 -13 19 -12 20 -15 22 -10 24 -13 20 -11 21 -14 22 -14 22 -15 24 -17 23 -18 21 -19 22 -18 19 -22 22 -22 21 -24 21 -22 25 -24 23 -25 24 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-73,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,77788,0,28,0,0,0.283442,128,[28 -64 1 0 0 0 0 0 0 0 0 0 15 18 16 17 15 18 16 20 13 17 12 16 11 16 10 13 11 15 8 13 10 14 9 14 8 13 6 12 6 9 6 11 6 12 3 9 3 10 1 11 2 8 2 11 0 10 -2 12 -4 14 -6 13 0 0 -6 16 -9 14 -12 17 -10 15 -14 17 -15 17 -16 16 -17 15 -18 17 -22 13 -25 18 -20 16 -21 18 -22 19 -23 17 -25 18 -23 21 -23 22 -24 22 -20 24 -23 24 -20 26 -22 26 -23 30 -20 30 -21 34 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,86167,0,157,0,0,0.291207,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -13 -11 -12 -12 -10 -10 -11 -10 -7 -9 -9 -11 -7 -8 -3 -8 -3 -9 -5 -8 -5 -10 -5 -9 -3 -9 -4 -8 -2 -9 -4 -9 -2 -8 -2 -8 0 -9 0 -7 2 -8 3 -9 1 -10 4 -8 1 -9 2 -11 0 0 5 -9 6 -9 7 -11 9 -11 11 -10 13 -11 12 -10 13 -10 13 -9 12 -10 13 -8 14 -8 15 -9 14 -13 14 -10 14 -16 14 -13 15 -13 16 -12 14 -14 15 -14 16 -14 14 -15 14 -17 16 -17 14 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,106198,0,135,0,0,0.311603,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -8 13 -7 12 -9 12 -9 10 -8 9 -10 8 -11 7 -9 10 -8 7 -7 6 -9 6 -7 5 -8 3 -9 7 -7 4 -9 4 -7 4 -7 1 -8 2 -7 3 -11 2 -8 0 -7 1 -11 -1 -10 1 -11 -1 0 0 -12 -5 -12 -2 -12 -3 -12 -6 -14 -8 -15 -8 -15 -8 -15 -8 -15 -9 -11 -8 -15 -9 -16 -10 -16 -7 -15 -9 -16 -9 -18 -10 -17 -9 -18 -8 -19 -8 -18 -8 -21 -9 -20 -8 -22 -6 -22 -8 -23 -5 -23 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,122064,0,390,0,0,0.327547,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 9 -11 8 -11 9 -11 7 -9 5 -9 4 -8 4 -10 4 -8 4 -9 4 -8 3 -8 1 -8 1 -8 2 -7 0 -8 1 -8 1 -7 0 -8 -1 -8 0 -9 0 -8 -2 -7 -3 -8 -3 -9 -4 -9 -3 0 0 -10 -7 -10 -6 -10 -8 -9 -8 -10 -9 -10 -11 -9 -11 -10 -11 -8 -13 -9 -13 -10 -14 -9 -12 -11 -14 -12 -13 -12 -12 -10 -13 -13 -13 -12 -12 -13 -13 -15 -13 -15 -13 -16 -10 -15 -12 -17 -12 -17 -13 -18 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-78,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,616222,0,390,0,0,0.821509,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -4 12 -4 11 -5 11 -7 11 -3 10 -4 11 -5 10 -3 8 -7 10 -4 6 -6 8 -6 8 -3 6 -4 5 -4 5 -5 8 -5 6 -6 6 -5 5 -7 4 -6 6 -3 4 -8 4 -7 2 -9 4 -8 5 0 0 -9 3 -13 3 -12 3 -12 1 -13 1 -13 2 -14 -1 -14 -1 -16 0 -15 0 -12 -2 -17 0 -14 -2 -15 -1 -15 0 -17 -1 -15 0 -17 2 -15 2 -17 4 -19 3 -18 4 -19 6 -18 7 -21 7 -21 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-78,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,644521,0,390,0,0,0.849811,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 11 -2 11 -2 11 -2 10 -2 10 1 10 2 8 0 10 0 9 0 9 0 8 0 8 1 6 1 7 2 7 0 8 3 7 3 6 2 6 3 6 3 6 4 8 3 7 4 7 4 8 7 7 6 0 0 6 8 6 8 6 10 5 10 6 10 5 12 5 11 5 11 5 12 5 12 5 13 6 13 5 12 6 13 3 14 6 14 7 13 8 12 8 15 7 13 9 14 9 15 10 15 13 14 12 16 13 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,662128,0,82,0,0,0.867344,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 9 -11 10 -10 8 -9 6 -10 7 -11 6 -10 6 -10 4 -11 5 -8 2 -10 4 -10 2 -10 3 -9 1 -9 2 -10 2 -9 3 -8 3 -10 1 -8 1 -9 3 -9 0 -10 -1 -10 -1 -9 -1 -13 -2 0 0 -13 -3 -14 -3 -16 -3 -15 -3 -13 -5 -15 -7 -16 -6 -13 -6 -16 -6 -16 -8 -17 -8 -16 -6 -17 -8 -16 -7 -14 -6 -17 -5 -16 -5 -19 -4 -17 -5 -20 -4 -20 -4 -20 -3 -21 -2 -22 -2 -22 -2 -24 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,1118080,0,82,0,0,1.32365,384,[82 -96 4 0 0 0 0 0 0 0 0 0 2 -18 3 -18 0 -17 5 -17 4 -16 4 -13 5 -15 2 -14 3 -12 4 -13 4 -12 5 -12 3 -10 4 -11 4 -11 4 -10 6 -9 4 -10 4 -8 5 -8 7 -8 5 -9 5 -9 6 -8 7 -9 7 -10 0 0 10 -10 9 -10 10 -9 11 -10 12 -10 12 -9 12 -8 13 -9 13 -7 12 -7 14 -9 13 -8 13 -9 13 -9 14 -8 15 -9 13 -12 12 -12 13 -12 11 -13 12 -14 13 -14 13 -13 11 -17 12 -18 13 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:27:60,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,1560374,0,82,0,0,1.76566,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 5 -19 4 -17 4 -19 4 -18 3 -18 4 -18 1 -16 2 -16 1 -15 1 -15 1 -14 0 -14 1 -13 -1 -14 -1 -16 -1 -12 -2 -12 -2 -13 -3 -11 -3 -12 -2 -13 -1 -13 -2 -13 -2 -13 -2 -14 -3 0 0 -14 -4 -16 -4 -17 -5 -16 -4 -14 -6 -15 -7 -17 -7 -15 -6 -17 -5 -15 -5 -16 -6 -16 -5 -15 -6 -17 -7 -16 -5 -16 -6 -17 -4 -17 -3 -18 -3 -19 -2 -19 -3 -20 -2 -21 0 -21 1 -22 0 -22 0 0 0 0 0 0 0 0 0 0 0 ]
