type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-73,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,37469,0,30,0,0,0.22652,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -5 8 -5 8 -4 7 -5 4 -3 4 -2 2 -1 2 2 1 2 1 3 1 3 0 7 0 5 0 6 1 7 -2 11 -3 7 -2 8 -2 9 -1 10 -3 7 -3 9 -5 8 -4 8 -7 9 -10 9 -7 0 0 6 -13 8 -14 7 -17 4 -18 7 -18 5 -19 6 -20 7 -18 3 -22 10 -23 8 -27 6 -25 2 -29 7 -27 4 -34 5 -35 8 -41 7 -35 5 -39 4 -37 8 -39 5 -43 13 -43 15 -45 14 -44 12 -43 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-73,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,70509,0,28,0,0,0.259407,128,[28 -64 1 0 0 0 0 0 0 0 0 0 2 1 2 0 1 0 1 0 1 -1 0 -1 0 -1 0 -1 0 -2 -1 -2 0 -2 0 -3 0 -3 0 -3 0 -3 0 -4 -1 -3 0 -4 0 -3 0 -3 -1 -3 0 -3 -1 -3 -1 -4 -1 -4 -1 -4 0 0 -2 -4 -2 -5 -3 -5 -3 -5 -3 -5 -3 -6 -3 -6 -3 -6 -4 -6 -3 -7 -4 -8 -4 -7 -5 -8 -4 -8 -4 -9 -4 -9 -5 -10 -4 -9 -4 -10 -5 -9 -4 -10 -5 -11 -5 -11 -5 -12 -5 -11 -5 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-77,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,88274,0,157,0,0,0.27672,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -3 -3 -3 -2 -3 -4 -4 -3 -2 0 -5 0 -1 -1 -1 1 -5 4 -1 2 -3 3 -4 3 -5 3 -5 3 -4 4 -4 5 -5 5 -5 4 -3 5 -3 4 -4 4 -3 6 -5 6 -3 5 -3 8 -3 7 0 0 0 8 -1 10 1 9 0 9 0 12 2 11 0 12 2 12 2 14 2 12 2 13 2 15 3 16 4 16 3 17 5 16 4 18 4 17 3 21 7 20 4 21 5 21 5 22 4 21 3 21 3 25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-78,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,116401,0,135,0,0,0.30514,384,[-121 112 8 0 0 0 0 0 0 0 0 0 3 3 2 2 1 2 0 1 2 2 2 2 0 2 2 -1 1 -2 3 -2 3 -2 3 -4 3 -3 5 -3 6 -4 5 -5 2 -4 5 -3 5 -4 4 -3 3 -4 2 -5 2 -6 3 -5 3 -5 2 -6 0 0 2 -7 1 -9 1 -10 3 -11 2 -10 2 -12 2 -12 4 -14 2 -13 3 -14 1 -14 1 -14 3 -16 3 -13 2 -19 0 -18 3 -20 3 -20 3 -20 2 -20 4 -21 2 -22 5 -22 5 -23 6 -23 6 -23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-78,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,130280,0,390,0,0,0.318836,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -6 0 -5 1 -4 1 -4 1 -3 0 -3 0 -3 1 -2 1 0 2 -1 1 0 5 1 5 3 4 1 3 0 4 0 6 -1 6 0 6 1 5 0 4 0 5 1 5 1 6 1 4 2 6 5 5 0 0 3 6 6 6 6 8 6 7 7 8 8 7 8 9 8 7 10 10 10 10 11 11 10 10 9 12 10 11 10 14 10 11 10 14 12 14 11 13 10 13 11 17 11 16 13 19 12 18 13 20 12 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-73,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,137232,0,390,0,0,0.326596,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -11 2 -9 0 -7 5 -6 3 -4 2 -5 3 -2 3 0 4 0 5 1 5 3 5 3 5 1 7 2 7 2 8 1 10 3 7 1 8 3 8 3 9 1 7 2 9 1 5 4 9 7 5 6 6 0 0 10 7 10 9 13 11 12 9 13 11 15 9 15 12 12 15 12 6 16 11 18 14 16 13 23 14 21 18 20 16 20 19 24 22 23 20 20 24 23 20 21 25 23 26 23 24 27 26 28 24 29 27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-78,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,157362,0,390,0,0,0.345828,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -2 4 -3 3 -3 4 -2 2 -1 2 1 2 0 0 3 1 0 2 0 1 4 0 4 2 1 3 3 1 4 2 6 3 5 3 5 2 2 3 5 3 5 1 5 3 4 1 5 2 6 1 5 -1 0 0 7 -1 7 0 8 -1 8 -2 8 -1 9 -2 13 0 10 -1 11 0 12 -1 13 -2 14 -1 13 -3 16 -3 16 -3 16 -6 18 -1 18 -4 19 -3 19 -3 20 -1 19 -1 19 -2 22 -4 22 -1 24 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-79,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,175454,0,82,0,0,0.363919,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 2 -4 1 -4 3 -5 3 -7 2 -3 0 -1 2 -1 1 -3 3 -2 3 0 4 2 7 1 6 0 4 -1 4 0 6 0 6 -1 6 -1 5 0 6 -1 4 1 7 0 5 1 6 0 7 4 6 0 0 4 6 4 7 7 8 9 5 7 5 8 6 7 9 9 8 10 8 12 10 14 11 11 10 11 9 12 9 14 10 14 11 17 11 15 11 17 15 14 13 15 15 15 15 15 17 17 17 15 18 15 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-74,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,176858,0,82,0,0,0.369189,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -9 -5 -9 -8 -6 -6 -4 -6 -3 -5 -1 -5 1 -5 1 -6 1 -5 1 -6 4 -8 5 -9 4 -11 4 -8 6 -9 8 -9 5 -8 4 -8 5 -8 4 -8 6 -9 5 -8 6 -7 9 -6 9 -7 8 0 0 -5 12 -2 15 -3 12 -4 17 -2 17 -7 17 -4 19 -7 18 -9 26 -12 21 -5 23 -5 22 -1 26 -7 27 -7 27 -7 32 -10 34 -9 29 -12 29 -10 32 -14 33 -11 35 -14 35 -12 39 -10 37 -14 37 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,B0:B2:1C:A8:A2:84,-79,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,628346,0,82,0,0,0.816852,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -3 -5 -3 -2 -3 -3 -4 -2 -4 -3 -2 -2 -3 0 -3 0 -1 0 -2 1 -2 2 -3 2 -3 2 -3 3 -3 4 -3 4 -2 3 -4 6 -3 4 -3 5 -2 4 -2 4 -3 4 -2 4 -2 3 -2 4 0 0 -1 6 0 8 1 8 1 7 1 9 1 8 0 9 1 11 0 12 0 12 2 12 3 12 2 12 4 10 4 16 2 15 2 17 2 17 2 18 1 17 -2 19 0 20 1 21 2 23 1 20 0 21 0 0 0 0 0 0 0 0 0 0 ]
